fips,county,state,variable,estimate,variable_name
34001,Atlantic County,NJ,death_rate,6.435466571326421,death_rate
34003,Bergen County,NJ,deaths,16,deaths
34003,Bergen County,NJ,births,9152,births
34003,Bergen County,NJ,death_rate,1.7482517482517483,death_rate
34005,Burlington County,NJ,deaths,16,deaths
34005,Burlington County,NJ,births,4365,births
34005,Burlington County,NJ,death_rate,3.665521191294387,death_rate
34007,Camden County,NJ,deaths,27,deaths
34007,Camden County,NJ,births,6157,births
34007,Camden County,NJ,death_rate,4.385252558063992,death_rate
34013,Essex County,NJ,deaths,56,deaths
34013,Essex County,NJ,births,10425,births
34013,Essex County,NJ,death_rate,5.371702637889688,death_rate
34015,Gloucester County,NJ,deaths,14,deaths
34015,Gloucester County,NJ,births,2762,births
34015,Gloucester County,NJ,death_rate,5.068790731354091,death_rate
34017,Hudson County,NJ,deaths,24,deaths
34017,Hudson County,NJ,births,10234,births
34017,Hudson County,NJ,death_rate,2.345124096150088,death_rate
34021,Mercer County,NJ,deaths,22,deaths
34021,Mercer County,NJ,births,3999,births
34021,Mercer County,NJ,death_rate,5.501375343835959,death_rate
34023,Middlesex County,NJ,deaths,39,deaths
34023,Middlesex County,NJ,births,8872,births
34023,Middlesex County,NJ,death_rate,4.3958521190261495,death_rate
34025,Monmouth County,NJ,deaths,21,deaths
34025,Monmouth County,NJ,births,5888,births
34025,Monmouth County,NJ,death_rate,3.5665760869565215,death_rate
34027,Morris County,NJ,deaths,13,deaths
34027,Morris County,NJ,births,4487,births
34027,Morris County,NJ,death_rate,2.897258747492757,death_rate
34029,Ocean County,NJ,deaths,24,deaths
34029,Ocean County,NJ,births,9015,births
34029,Ocean County,NJ,death_rate,2.6622296173044924,death_rate
34031,Passaic County,NJ,deaths,32,deaths
34031,Passaic County,NJ,births,6542,births
34031,Passaic County,NJ,death_rate,4.891470498318557,death_rate
34035,Somerset County,NJ,deaths,10,deaths
34035,Somerset County,NJ,births,3210,births
34035,Somerset County,NJ,death_rate,3.115264797507788,death_rate
34039,Union County,NJ,deaths,28,deaths
34039,Union County,NJ,births,6777,births
34039,Union County,NJ,death_rate,4.13162166150214,death_rate
35001,Bernalillo County,NM,deaths,41,deaths
35001,Bernalillo County,NM,births,7078,births
35001,Bernalillo County,NM,death_rate,5.79259677875106,death_rate
36005,Bronx County,NY,deaths,86,deaths
36005,Bronx County,NY,births,20121,births
36005,Bronx County,NY,death_rate,4.274141444262213,death_rate
36027,Dutchess County,NY,deaths,14,deaths
36027,Dutchess County,NY,births,2549,births
36027,Dutchess County,NY,death_rate,5.492349941153393,death_rate
